,Municipal,County,State,Region,Year,Unemployment Rate Avg,No Unemployed Avg,No Employed Avg,No Labor Avg
6611,South Hadley,Hampshire County,MA,South Hadley,2008,4.6,440,9216,9656
6612,South Hadley,Hampshire County,MA,South Hadley,2009,6.9,655,8830,9485
6613,South Hadley,Hampshire County,MA,South Hadley,2010,7.1,680,8957,9637
6614,South Hadley,Hampshire County,MA,South Hadley,2011,6.4,610,8848,9458
6615,South Hadley,Hampshire County,MA,South Hadley,2012,6.1,572,8853,9425
6616,Southampton,Hampshire County,MA,Southampton,1990,5,131,2488,2619
6617,Southampton,Hampshire County,MA,Southampton,1991,7.9,208,2426,2634
6618,Southampton,Hampshire County,MA,Southampton,1992,7.6,203,2471,2674
6619,Southampton,Hampshire County,MA,Southampton,1993,7.1,193,2507,2700
6620,Southampton,Hampshire County,MA,Southampton,1994,6.2,174,2622,2796
6621,Southampton,Hampshire County,MA,Southampton,1995,5.4,146,2569,2715
6622,Southampton,Hampshire County,MA,Southampton,1996,4,111,2644,2755
6623,Southampton,Hampshire County,MA,Southampton,1997,3.3,94,2730,2824
6624,Southampton,Hampshire County,MA,Southampton,1998,3.2,93,2847,2940
6625,Southampton,Hampshire County,MA,Southampton,1999,3.2,95,2901,2996
6626,Southampton,Hampshire County,MA,Southampton,2000,2.1,69,3151,3220
6627,Southampton,Hampshire County,MA,Southampton,2001,2.9,95,3185,3280
6628,Southampton,Hampshire County,MA,Southampton,2002,3.7,125,3216,3341
6629,Southampton,Hampshire County,MA,Southampton,2003,4.4,151,3246,3397
6630,Southampton,Hampshire County,MA,Southampton,2004,4.4,150,3295,3445
6631,Southampton,Hampshire County,MA,Southampton,2005,3.9,136,3352,3488
6632,Southampton,Hampshire County,MA,Southampton,2006,3.6,128,3428,3556
6633,Southampton,Hampshire County,MA,Southampton,2007,3.8,137,3453,3590
6634,Southampton,Hampshire County,MA,Southampton,2008,4.2,152,3428,3580
6635,Southampton,Hampshire County,MA,Southampton,2009,6.4,224,3267,3491
6636,Southampton,Hampshire County,MA,Southampton,2010,6.7,228,3182,3410
6637,Southampton,Hampshire County,MA,Southampton,2011,5.8,194,3142,3336
6638,Southampton,Hampshire County,MA,Southampton,2012,5.4,181,3144,3325
6639,Southborough,Worcester County,MA,Southborough,1990,4.8,184,3632,3816
6640,Southborough,Worcester County,MA,Southborough,1991,5.8,216,3520,3736
6641,Southborough,Worcester County,MA,Southborough,1992,6,226,3572,3798
6642,Southborough,Worcester County,MA,Southborough,1993,5.1,199,3675,3874
6643,Southborough,Worcester County,MA,Southborough,1994,4.2,171,3890,4061
6644,Southborough,Worcester County,MA,Southborough,1995,3.9,157,3917,4074
6645,Southborough,Worcester County,MA,Southborough,1996,3.1,129,4054,4183
6646,Southborough,Worcester County,MA,Southborough,1997,2.4,104,4256,4360
6647,Southborough,Worcester County,MA,Southborough,1998,2,92,4421,4513
6648,Southborough,Worcester County,MA,Southborough,1999,2,95,4597,4692
6649,Southborough,Worcester County,MA,Southborough,2000,2.1,96,4467,4563
6650,Southborough,Worcester County,MA,Southborough,2001,3.3,155,4554,4709
6651,Southborough,Worcester County,MA,Southborough,2002,4.9,236,4544,4780
6652,Southborough,Worcester County,MA,Southborough,2003,4.9,237,4569,4806
6653,Southborough,Worcester County,MA,Southborough,2004,3.8,185,4654,4839
6654,Southborough,Worcester County,MA,Southborough,2005,3.6,178,4731,4909
6655,Southborough,Worcester County,MA,Southborough,2006,3.6,175,4754,4929
6656,Southborough,Worcester County,MA,Southborough,2007,3.2,157,4779,4936
6657,Southborough,Worcester County,MA,Southborough,2008,3.6,183,4873,5056
6658,Southborough,Worcester County,MA,Southborough,2009,6,299,4710,5009
6659,Southborough,Worcester County,MA,Southborough,2010,6.4,322,4688,5010
6660,Southborough,Worcester County,MA,Southborough,2011,4.9,242,4700,4942
6661,Southborough,Worcester County,MA,Southborough,2012,4.8,241,4743,4984
6662,Southbridge,Worcester County,MA,Southbridge,1990,7.8,681,8076,8757
6663,Southbridge,Worcester County,MA,Southbridge,1991,11.8,1014,7600,8614
6664,Southbridge,Worcester County,MA,Southbridge,1992,12,984,7209,8193
6665,Southbridge,Worcester County,MA,Southbridge,1993,10.6,860,7282,8142
6666,Southbridge,Worcester County,MA,Southbridge,1994,7,552,7309,7861
6667,Southbridge,Worcester County,MA,Southbridge,1995,6.3,532,7909,8441
6668,Southbridge,Worcester County,MA,Southbridge,1996,5.4,455,7997,8452
6669,Southbridge,Worcester County,MA,Southbridge,1997,4.4,375,8166,8541
6670,Southbridge,Worcester County,MA,Southbridge,1998,4.3,368,8236,8604
6671,Southbridge,Worcester County,MA,Southbridge,1999,3.7,316,8169,8485
6672,Southbridge,Worcester County,MA,Southbridge,2000,3.3,269,7891,8160
6673,Southbridge,Worcester County,MA,Southbridge,2001,4.6,378,7866,8244
6674,Southbridge,Worcester County,MA,Southbridge,2002,6.5,542,7789,8331
6675,Southbridge,Worcester County,MA,Southbridge,2003,7.5,623,7723,8346
6676,Southbridge,Worcester County,MA,Southbridge,2004,6.9,568,7662,8230
6677,Southbridge,Worcester County,MA,Southbridge,2005,6.3,510,7602,8112
6678,Southbridge,Worcester County,MA,Southbridge,2006,6.5,540,7741,8281
6679,Southbridge,Worcester County,MA,Southbridge,2007,6.1,501,7730,8231
6680,Southbridge,Worcester County,MA,Southbridge,2008,7.7,628,7573,8201
6681,Southbridge,Worcester County,MA,Southbridge,2009,10.3,849,7359,8208
6682,Southbridge,Worcester County,MA,Southbridge,2010,12,964,7059,8023
6683,Southbridge,Worcester County,MA,Southbridge,2011,10.9,870,7121,7991
6684,Southbridge,Worcester County,MA,Southbridge,2012,10.2,808,7119,7927
6685,Southwick,Hampden County,MA,Southwick,1990,5.2,228,4152,4380
6686,Southwick,Hampden County,MA,Southwick,1991,8.4,374,4082,4456
6687,Southwick,Hampden County,MA,Southwick,1992,9.3,423,4147,4570
6688,Southwick,Hampden County,MA,Southwick,1993,9.1,421,4194,4615
6689,Southwick,Hampden County,MA,Southwick,1994,8.3,384,4262,4646
6690,Southwick,Hampden County,MA,Southwick,1995,7,310,4110,4420
6691,Southwick,Hampden County,MA,Southwick,1996,5.4,241,4259,4500
6692,Southwick,Hampden County,MA,Southwick,1997,4.3,201,4441,4642
6693,Southwick,Hampden County,MA,Southwick,1998,3.9,183,4533,4716
6694,Southwick,Hampden County,MA,Southwick,1999,3.2,151,4639,4790
6695,Southwick,Hampden County,MA,Southwick,2000,3,147,4704,4851
6696,Southwick,Hampden County,MA,Southwick,2001,3.7,182,4773,4955
6697,Southwick,Hampden County,MA,Southwick,2002,5.1,256,4809,5065
6698,Southwick,Hampden County,MA,Southwick,2003,5.2,268,4843,5111
6699,Southwick,Hampden County,MA,Southwick,2004,5,259,4902,5161
6700,Southwick,Hampden County,MA,Southwick,2005,4.7,248,4984,5232
6701,Southwick,Hampden County,MA,Southwick,2006,4.6,244,5046,5290
6702,Southwick,Hampden County,MA,Southwick,2007,4.4,228,4970,5198
6703,Southwick,Hampden County,MA,Southwick,2008,5.4,285,4999,5284
6704,Southwick,Hampden County,MA,Southwick,2009,8.5,448,4830,5278
6705,Southwick,Hampden County,MA,Southwick,2010,9.3,488,4748,5236
6706,Southwick,Hampden County,MA,Southwick,2011,7.9,401,4702,5103
6707,Southwick,Hampden County,MA,Southwick,2012,7,353,4705,5058
6708,Spencer,Worcester County,MA,Spencer,1990,6.5,395,5695,6090
6709,Spencer,Worcester County,MA,Spencer,1991,9.8,594,5490,6084
6710,Spencer,Worcester County,MA,Spencer,1992,9.5,586,5569,6155
6711,Spencer,Worcester County,MA,Spencer,1993,7.5,454,5604,6058
6712,Spencer,Worcester County,MA,Spencer,1994,5.7,342,5692,6034
6713,Spencer,Worcester County,MA,Spencer,1995,5.5,338,5810,6148
6714,Spencer,Worcester County,MA,Spencer,1996,5,315,5957,6272
6715,Spencer,Worcester County,MA,Spencer,1997,3.5,227,6194,6421
6716,Spencer,Worcester County,MA,Spencer,1998,3.3,214,6328,6542
6717,Spencer,Worcester County,MA,Spencer,1999,3,193,6296,6489
6718,Spencer,Worcester County,MA,Spencer,2000,2.6,170,6390,6560
6719,Spencer,Worcester County,MA,Spencer,2001,3.4,226,6398,6624
6720,Spencer,Worcester County,MA,Spencer,2002,5.1,341,6366,6707
6721,Spencer,Worcester County,MA,Spencer,2003,5.9,397,6338,6735
6722,Spencer,Worcester County,MA,Spencer,2004,5.7,380,6332,6712
6723,Spencer,Worcester County,MA,Spencer,2005,5.1,338,6353,6691
6724,Spencer,Worcester County,MA,Spencer,2006,5,333,6333,6666
6725,Spencer,Worcester County,MA,Spencer,2007,4.9,329,6325,6654
6726,Spencer,Worcester County,MA,Spencer,2008,6.1,399,6193,6592
6727,Spencer,Worcester County,MA,Spencer,2009,9.4,628,6022,6650
6728,Spencer,Worcester County,MA,Spencer,2010,10.2,671,5878,6549
6729,Spencer,Worcester County,MA,Spencer,2011,7.9,509,5931,6440
6730,Spencer,Worcester County,MA,Spencer,2012,7.4,476,5929,6405
6731,Springfield,Hampden County,MA,Springfield,1990,8,5588,64373,69961
6732,Springfield,Hampden County,MA,Springfield,1991,11.5,8018,61502,69520
6733,Springfield,Hampden County,MA,Springfield,1992,11.2,7678,60743,68421
6734,Springfield,Hampden County,MA,Springfield,1993,10.5,7035,59891,66926
6735,Springfield,Hampden County,MA,Springfield,1994,9.4,6152,59274,65426
6736,Springfield,Hampden County,MA,Springfield,1995,7.7,5046,60372,65418
6737,Springfield,Hampden County,MA,Springfield,1996,6.3,4072,60729,64801
6738,Springfield,Hampden County,MA,Springfield,1997,5.8,3814,61863,65677
6739,Springfield,Hampden County,MA,Springfield,1998,5.3,3476,61819,65295
6740,Springfield,Hampden County,MA,Springfield,1999,5.2,3401,61764,65165
6741,Springfield,Hampden County,MA,Springfield,2000,4.1,2698,62316,65014
6742,Springfield,Hampden County,MA,Springfield,2001,5.2,3418,62183,65601
6743,Springfield,Hampden County,MA,Springfield,2002,7.2,4803,61827,66630
6744,Springfield,Hampden County,MA,Springfield,2003,8.1,5409,61137,66546
6745,Springfield,Hampden County,MA,Springfield,2004,7.8,5180,61089,66269
6746,Springfield,Hampden County,MA,Springfield,2005,7.3,4812,61182,65994
6747,Springfield,Hampden County,MA,Springfield,2006,7.4,4936,61374,66310
6748,Springfield,Hampden County,MA,Springfield,2007,7,4623,61042,65665
6749,Springfield,Hampden County,MA,Springfield,2008,8,5293,60781,66074
6750,Springfield,Hampden County,MA,Springfield,2009,11.2,7563,59911,67474
6751,Springfield,Hampden County,MA,Springfield,2010,12.4,8368,59091,67459
6752,Springfield,Hampden County,MA,Springfield,2011,11.9,7883,58500,66383
6753,Springfield,Hampden County,MA,Springfield,2012,11,7200,58535,65735
6754,Sterling,Worcester County,MA,Sterling,1990,5.5,189,3264,3453
6755,Sterling,Worcester County,MA,Sterling,1991,8.1,282,3188,3470
6756,Sterling,Worcester County,MA,Sterling,1992,9.1,328,3279,3607
6757,Sterling,Worcester County,MA,Sterling,1993,7.2,266,3420,3686
6758,Sterling,Worcester County,MA,Sterling,1994,5.7,214,3531,3745
6759,Sterling,Worcester County,MA,Sterling,1995,5.1,181,3384,3565
6760,Sterling,Worcester County,MA,Sterling,1996,3.5,127,3477,3604
6761,Sterling,Worcester County,MA,Sterling,1997,3.5,131,3610,3741
6762,Sterling,Worcester County,MA,Sterling,1998,2.3,90,3742,3832
6763,Sterling,Worcester County,MA,Sterling,1999,3.2,127,3803,3930
6764,Sterling,Worcester County,MA,Sterling,2000,2.1,87,4123,4210
6765,Sterling,Worcester County,MA,Sterling,2001,3,127,4167,4294
6766,Sterling,Worcester County,MA,Sterling,2002,4.8,213,4186,4399
6767,Sterling,Worcester County,MA,Sterling,2003,5,223,4215,4438
6768,Sterling,Worcester County,MA,Sterling,2004,4.6,202,4232,4434
6769,Sterling,Worcester County,MA,Sterling,2005,4.4,194,4234,4428
6770,Sterling,Worcester County,MA,Sterling,2006,4.1,184,4257,4441
6771,Sterling,Worcester County,MA,Sterling,2007,4,179,4252,4431
6772,Sterling,Worcester County,MA,Sterling,2008,4.4,192,4162,4354
6773,Sterling,Worcester County,MA,Sterling,2009,7.2,315,4047,4362
6774,Sterling,Worcester County,MA,Sterling,2010,7.9,347,4073,4420
6775,Sterling,Worcester County,MA,Sterling,2011,6.4,279,4109,4388
6776,Sterling,Worcester County,MA,Sterling,2012,5.7,247,4107,4354
6777,Stockbridge,Berkshire County,MA,Stockbridge,1990,3.8,42,1052,1094
6778,Stockbridge,Berkshire County,MA,Stockbridge,1991,6.2,65,984,1049
6779,Stockbridge,Berkshire County,MA,Stockbridge,1992,7,74,979,1053
6780,Stockbridge,Berkshire County,MA,Stockbridge,1993,5.3,54,971,1025
6781,Stockbridge,Berkshire County,MA,Stockbridge,1994,5.9,60,951,1011
6782,Stockbridge,Berkshire County,MA,Stockbridge,1995,5.4,56,974,1030
6783,Stockbridge,Berkshire County,MA,Stockbridge,1996,4.2,43,987,1030
6784,Stockbridge,Berkshire County,MA,Stockbridge,1997,3.7,38,991,1029
6785,Stockbridge,Berkshire County,MA,Stockbridge,1998,3.3,34,988,1022
6786,Stockbridge,Berkshire County,MA,Stockbridge,1999,2.7,27,989,1016
6787,Stockbridge,Berkshire County,MA,Stockbridge,2000,1.9,25,1258,1283
6788,Stockbridge,Berkshire County,MA,Stockbridge,2001,2.3,30,1298,1328
6789,Stockbridge,Berkshire County,MA,Stockbridge,2002,3.3,46,1334,1380
6790,Stockbridge,Berkshire County,MA,Stockbridge,2003,3.6,50,1332,1382
6791,Stockbridge,Berkshire County,MA,Stockbridge,2004,3.9,54,1324,1378
6792,Stockbridge,Berkshire County,MA,Stockbridge,2005,3.3,46,1354,1400
6793,Stockbridge,Berkshire County,MA,Stockbridge,2006,3.3,47,1366,1413
6794,Stockbridge,Berkshire County,MA,Stockbridge,2007,3.2,44,1332,1376
6795,Stockbridge,Berkshire County,MA,Stockbridge,2008,3.8,52,1326,1378
6796,Stockbridge,Berkshire County,MA,Stockbridge,2009,5.1,68,1277,1345
6797,Stockbridge,Berkshire County,MA,Stockbridge,2010,5.3,64,1142,1206
6798,Stockbridge,Berkshire County,MA,Stockbridge,2011,5,61,1149,1210
6799,Stockbridge,Berkshire County,MA,Stockbridge,2012,4.2,50,1139,1189
6800,Stoneham,Middlesex County,MA,Stoneham,1990,5.6,679,11488,12167
6801,Stoneham,Middlesex County,MA,Stoneham,1991,7.4,881,11027,11908
6802,Stoneham,Middlesex County,MA,Stoneham,1992,7.6,898,10985,11883
6803,Stoneham,Middlesex County,MA,Stoneham,1993,5.8,681,10997,11678
6804,Stoneham,Middlesex County,MA,Stoneham,1994,5.1,607,11198,11805
6805,Stoneham,Middlesex County,MA,Stoneham,1995,5.1,613,11338,11951
6806,Stoneham,Middlesex County,MA,Stoneham,1996,4,479,11551,12030
6807,Stoneham,Middlesex County,MA,Stoneham,1997,3.4,421,11838,12259
6808,Stoneham,Middlesex County,MA,Stoneham,1998,2.9,361,12066,12427
6809,Stoneham,Middlesex County,MA,Stoneham,1999,2.9,358,12164,12522
6810,Stoneham,Middlesex County,MA,Stoneham,2000,2.3,281,12006,12287
6811,Stoneham,Middlesex County,MA,Stoneham,2001,3.3,405,11938,12343
6812,Stoneham,Middlesex County,MA,Stoneham,2002,4.9,596,11663,12259
6813,Stoneham,Middlesex County,MA,Stoneham,2003,5.2,626,11422,12048
6814,Stoneham,Middlesex County,MA,Stoneham,2004,4.9,580,11333,11913
6815,Stoneham,Middlesex County,MA,Stoneham,2005,4.5,531,11348,11879
6816,Stoneham,Middlesex County,MA,Stoneham,2006,4.4,507,11061,11568
6817,Stoneham,Middlesex County,MA,Stoneham,2007,4.2,491,11142,11633
6818,Stoneham,Middlesex County,MA,Stoneham,2008,4.8,562,11117,11679
6819,Stoneham,Middlesex County,MA,Stoneham,2009,7.4,870,10817,11687
6820,Stoneham,Middlesex County,MA,Stoneham,2010,7.1,840,10918,11758
6821,Stoneham,Middlesex County,MA,Stoneham,2011,6.4,761,11078,11839
6822,Stoneham,Middlesex County,MA,Stoneham,2012,5.6,665,11199,11864
6823,Stoughton,Norfolk County,MA,Stoughton,1990,5.9,904,14302,15206
6824,Stoughton,Norfolk County,MA,Stoughton,1991,8.3,1257,13910,15167
6825,Stoughton,Norfolk County,MA,Stoughton,1992,9.1,1377,13834,15211
6826,Stoughton,Norfolk County,MA,Stoughton,1993,7.4,1123,13970,15093
6827,Stoughton,Norfolk County,MA,Stoughton,1994,6.3,945,14155,15100
6828,Stoughton,Norfolk County,MA,Stoughton,1995,5.1,775,14472,15247
6829,Stoughton,Norfolk County,MA,Stoughton,1996,4.2,641,14759,15400
6830,Stoughton,Norfolk County,MA,Stoughton,1997,3.8,602,15128,15730
6831,Stoughton,Norfolk County,MA,Stoughton,1998,3,472,15337,15809
6832,Stoughton,Norfolk County,MA,Stoughton,1999,3.2,517,15523,16040
6833,Stoughton,Norfolk County,MA,Stoughton,2000,2.8,426,14966,15392
6834,Stoughton,Norfolk County,MA,Stoughton,2001,3.6,563,14918,15481
6835,Stoughton,Norfolk County,MA,Stoughton,2002,5.1,794,14630,15424
6836,Stoughton,Norfolk County,MA,Stoughton,2003,5.9,907,14360,15267
6837,Stoughton,Norfolk County,MA,Stoughton,2004,5.2,786,14279,15065
6838,Stoughton,Norfolk County,MA,Stoughton,2005,4.8,729,14314,15043
6839,Stoughton,Norfolk County,MA,Stoughton,2006,4.6,692,14230,14922
6840,Stoughton,Norfolk County,MA,Stoughton,2007,4.3,654,14402,15056
6841,Stoughton,Norfolk County,MA,Stoughton,2008,5.3,813,14406,15219
6842,Stoughton,Norfolk County,MA,Stoughton,2009,8,1202,13896,15098
6843,Stoughton,Norfolk County,MA,Stoughton,2010,8,1219,14004,15223
6844,Stoughton,Norfolk County,MA,Stoughton,2011,6.7,1023,14163,15186
6845,Stoughton,Norfolk County,MA,Stoughton,2012,6.3,964,14318,15282
6846,Stow,Middlesex County,MA,Stow,1990,3.7,114,3009,3123
6847,Stow,Middlesex County,MA,Stow,1991,5.8,177,2899,3076
6848,Stow,Middlesex County,MA,Stow,1992,6.3,197,2918,3115
6849,Stow,Middlesex County,MA,Stow,1993,5.6,176,2995,3171
6850,Stow,Middlesex County,MA,Stow,1994,4.6,149,3064,3213
6851,Stow,Middlesex County,MA,Stow,1995,4.1,136,3168,3304
6852,Stow,Middlesex County,MA,Stow,1996,2.6,88,3256,3344
6853,Stow,Middlesex County,MA,Stow,1997,2.2,74,3357,3431
6854,Stow,Middlesex County,MA,Stow,1998,2.2,78,3427,3505
6855,Stow,Middlesex County,MA,Stow,1999,2.2,77,3490,3567
6856,Stow,Middlesex County,MA,Stow,2000,2,65,3263,3328
6857,Stow,Middlesex County,MA,Stow,2001,3.2,108,3301,3409
6858,Stow,Middlesex County,MA,Stow,2002,4.9,168,3264,3432
6859,Stow,Middlesex County,MA,Stow,2003,5,172,3247,3419
6860,Stow,Middlesex County,MA,Stow,2004,4,136,3243,3379
6861,Stow,Middlesex County,MA,Stow,2005,3.6,123,3310,3433
6862,Stow,Middlesex County,MA,Stow,2006,3.7,125,3293,3418
6863,Stow,Middlesex County,MA,Stow,2007,3.3,115,3369,3484
6864,Stow,Middlesex County,MA,Stow,2008,4.2,150,3442,3592
6865,Stow,Middlesex County,MA,Stow,2009,6.1,222,3410,3632
6866,Stow,Middlesex County,MA,Stow,2010,5.5,198,3419,3617
6867,Stow,Middlesex County,MA,Stow,2011,4.8,175,3469,3644
6868,Stow,Middlesex County,MA,Stow,2012,4.5,167,3507,3674
6869,Sturbridge,Worcester County,MA,Sturbridge,1990,5.6,238,4001,4239
6870,Sturbridge,Worcester County,MA,Sturbridge,1991,8.4,357,3912,4269
6871,Sturbridge,Worcester County,MA,Sturbridge,1992,8.4,365,3992,4357
6872,Sturbridge,Worcester County,MA,Sturbridge,1993,6.4,279,4057,4336
6873,Sturbridge,Worcester County,MA,Sturbridge,1994,4.8,209,4117,4326
6874,Sturbridge,Worcester County,MA,Sturbridge,1995,4.4,184,4020,4204
6875,Sturbridge,Worcester County,MA,Sturbridge,1996,3.7,156,4092,4248
6876,Sturbridge,Worcester County,MA,Sturbridge,1997,3.6,156,4221,4377
6877,Sturbridge,Worcester County,MA,Sturbridge,1998,2.7,119,4311,4430
6878,Sturbridge,Worcester County,MA,Sturbridge,1999,2.5,111,4296,4407
6879,Sturbridge,Worcester County,MA,Sturbridge,2000,2.4,105,4351,4456
6880,Sturbridge,Worcester County,MA,Sturbridge,2001,2.9,133,4420,4553
6881,Sturbridge,Worcester County,MA,Sturbridge,2002,4.8,224,4447,4671
6882,Sturbridge,Worcester County,MA,Sturbridge,2003,5.6,268,4527,4795
6883,Sturbridge,Worcester County,MA,Sturbridge,2004,5.1,249,4636,4885
6884,Sturbridge,Worcester County,MA,Sturbridge,2005,4.3,214,4711,4925
6885,Sturbridge,Worcester County,MA,Sturbridge,2006,4.2,208,4703,4911
6886,Sturbridge,Worcester County,MA,Sturbridge,2007,4.5,221,4715,4936
6887,Sturbridge,Worcester County,MA,Sturbridge,2008,5.1,248,4620,4868
6888,Sturbridge,Worcester County,MA,Sturbridge,2009,7.9,385,4497,4882
6889,Sturbridge,Worcester County,MA,Sturbridge,2010,7.5,381,4717,5098
6890,Sturbridge,Worcester County,MA,Sturbridge,2011,7,357,4759,5116
6891,Sturbridge,Worcester County,MA,Sturbridge,2012,6.4,323,4757,5080
6892,Sudbury,Middlesex County,MA,Sudbury,1990,3.4,280,7916,8196
6893,Sudbury,Middlesex County,MA,Sudbury,1991,4.3,344,7729,8073
6894,Sudbury,Middlesex County,MA,Sudbury,1992,5,412,7808,8220
6895,Sudbury,Middlesex County,MA,Sudbury,1993,4.1,344,7997,8341
6896,Sudbury,Middlesex County,MA,Sudbury,1994,3.7,317,8250,8567
6897,Sudbury,Middlesex County,MA,Sudbury,1995,3.4,289,8123,8412
6898,Sudbury,Middlesex County,MA,Sudbury,1996,2.3,199,8379,8578
6899,Sudbury,Middlesex County,MA,Sudbury,1997,1.9,167,8680,8847
6900,Sudbury,Middlesex County,MA,Sudbury,1998,1.6,142,8917,9059
6901,Sudbury,Middlesex County,MA,Sudbury,1999,1.6,144,9146,9290
6902,Sudbury,Middlesex County,MA,Sudbury,2000,1.8,153,8305,8458
6903,Sudbury,Middlesex County,MA,Sudbury,2001,3,255,8366,8621
6904,Sudbury,Middlesex County,MA,Sudbury,2002,4.7,405,8260,8665
6905,Sudbury,Middlesex County,MA,Sudbury,2003,4.8,408,8136,8544
6906,Sudbury,Middlesex County,MA,Sudbury,2004,3.8,323,8122,8445
6907,Sudbury,Middlesex County,MA,Sudbury,2005,3.4,287,8162,8449
6908,Sudbury,Middlesex County,MA,Sudbury,2006,3.7,308,8054,8362
6909,Sudbury,Middlesex County,MA,Sudbury,2007,3.1,265,8160,8425
6910,Sudbury,Middlesex County,MA,Sudbury,2008,3.8,323,8208,8531
6911,Sudbury,Middlesex County,MA,Sudbury,2009,6,515,8061,8576
6912,Sudbury,Middlesex County,MA,Sudbury,2010,5.8,507,8180,8687
6913,Sudbury,Middlesex County,MA,Sudbury,2011,5,436,8301,8737
6914,Sudbury,Middlesex County,MA,Sudbury,2012,4.5,395,8392,8787
6938,Sunderland,Franklin County,MA,Sunderland,1990,4,83,1989,2072
6939,Sunderland,Franklin County,MA,Sunderland,1991,6,120,1884,2004
6940,Sunderland,Franklin County,MA,Sunderland,1992,6.1,123,1897,2020
6941,Sunderland,Franklin County,MA,Sunderland,1993,5.1,106,1981,2087
6942,Sunderland,Franklin County,MA,Sunderland,1994,4.6,98,2014,2112
6943,Sunderland,Franklin County,MA,Sunderland,1995,3.5,72,2000,2072
6944,Sunderland,Franklin County,MA,Sunderland,1996,2.5,53,2037,2090
6945,Sunderland,Franklin County,MA,Sunderland,1997,2.1,45,2080,2125
6946,Sunderland,Franklin County,MA,Sunderland,1998,2.1,45,2080,2125
6947,Sunderland,Franklin County,MA,Sunderland,1999,2.2,48,2109,2157
6948,Sunderland,Franklin County,MA,Sunderland,2000,1.8,41,2197,2238
